T	<N>	<E>
0.05726876	NaN	NaN
0.062038507	NaN	NaN
0.067205513	NaN	NaN
0.072802863	NaN	NaN
0.0788664	NaN	NaN
0.085434951	9.972614721223248	7.853878254995514
0.092550578	9.962392088280827	7.799332682864687
0.10025884	9.949770629608272	7.731987794933453
0.10860911	9.934641263954724	7.651262041507664
0.11765484	9.91700642776247	7.557169554803245
0.12745397	9.896985667761227	7.450350664953838
0.13806924	9.874807450096505	7.332029392838663
0.14956862	9.850787657125677	7.203900708462072
0.16202575	9.825298210177472	7.067966251666405
0.1755204	9.798730526094166	6.926344053238999
0.19013898	9.771458732020353	6.781078992121813
0.2059751	9.74380680154432	6.633976654388064
0.22313016	9.716022316703569	6.486475391570366
0.24171402	9.688257830994026	6.339561961850535
0.26184567	9.660559752387508	6.193730185129745
0.28365403	9.632863615078781	6.048976014284264
0.30727874	9.604994845281096	5.904823142429585
0.33287108	9.57667391331562	5.760371609130985
0.36059494	9.547525407259425	5.614364837705125
0.39062784	9.51709069991382	5.465271025531052
0.42316208	9.484843907861539	5.311375024980528
0.45840601	9.450210876913403	5.150877299590505
0.4965853	9.412590893956988	4.98199658594713
0.53794444	9.371380406157346	4.803071126393299
0.58274825	9.325998488103101	4.612655651954384
0.63128365	9.275913375123567	4.4096096243597955
0.68386141	9.220669857033032	4.193174872091966
0.74081822	9.159916429095858	3.963038004674104
0.8025188	9.09343122261775	3.7193752096543875
0.86935824	9.021144611141041	3.462874806467866
0.94176453	8.943156012273857	3.194734383949566
1.0202013	8.859741972192761	2.9166306440324163
1.1051709	8.77135257652538	2.6306622536439974
1.1972174	8.678594502258413	2.3392709130038796
1.2969301	8.58219936605934	2.045145062300115
1.4049476	8.482978767592668	1.751114894629005
1.5219616	8.38177066361224	1.460050066165401
1.6487213	8.279382195226235	1.1747652215936881
1.7860384	8.176536325980022	0.8979393893886751
1.9347923	8.07382972962346	0.6320529489407818
2.0959355	7.971707201892947	0.3793415182181761
2.2704998	7.870454710775014	0.14176308108903157
2.4596031	7.77021068070226	-0.0790246214151864
2.6644562	7.670992431419572	-0.28167932885595093
2.886371	7.572731853111667	-0.46518619221997426
3.1267684	7.475315430236456	-0.6288651567520276
3.3871877	7.378622359230466	-0.7723747926144782
3.6692967	7.28255699328	-0.8957096670084681
3.9749016	7.187073136167091	-0.9991890936112284
4.3059595	7.092188073611059	-1.0834370121339632
4.6645903	6.997987674811617	-1.1493511211369807
5.0530903	6.904623029965861	-1.1980632148722208
5.4739474	6.812300679270785	-1.23089243337121
5.9298564	6.7212689755567645	-1.2492941757093234
6.4237368	6.631802162084901	-1.2548081903693173
6.958751	6.544184513383904	-1.249008728904066
7.5383249	6.458695580558401	-1.233459470991086
8.1661699	6.375597743968031	-1.209675028617987
8.8463063	6.295126571492894	-1.1790901417325372
9.5830892	6.217483990583314	-1.14303682736292
10.381237	6.142834185823716	-1.1027291389684777
11.245859	6.071302205655559	-1.0592549559830786
12.182494	6.002973821688772	-1.0135731670746253
13.197138	5.937898053594708	-0.9665161959072393
14.296289	5.876089626640841	-0.9187953301447322
