E	Esq	M	Msq	N_tot
0.0	0.0	0.0	0.0	0.0
-1.414213562373093	1.999999999999994	-0.5	0.25	1.0
1.5543122344752192e-15	2.4158865222393487e-30	-0.5	0.25	1.0
1.4142135623730951	2.0000000000000004	-0.5	0.25	1.0
-1.414213562373093	1.999999999999994	-1.0	1.0	2.0
1.5543122344752192e-15	2.4158865222393487e-30	-1.0	1.0	2.0
1.4142135623730951	2.0000000000000004	-1.0	1.0	2.0
0.0	0.0	-1.5	2.25	3.0
-1.414213562373093	1.999999999999994	0.5	0.25	1.0
1.5543122344752192e-15	2.4158865222393487e-30	0.5	0.25	1.0
1.4142135623730951	2.0000000000000004	0.5	0.25	1.0
-1.5065796261333655	2.2697821698801515	0.0	0.0	2.0
-1.4142135623731016	2.0000000000000187	0.0	0.0	2.0
-0.06237840420901186	0.0038910653116628687	0.0	0.0	2.0
-4.218847493575595e-15	1.779867417404908e-29	0.0	0.0	2.0
1.319807077324363	1.7418907213554773	0.0	0.0	2.0
1.4142135623730934	1.9999999999999953	0.0	0.0	2.0
32.00000000000003	1024.0000000000018	0.0	0.0	2.0
32.06237840420904	1027.9961089346903	0.0	0.0	2.0
32.186772548809024	1035.9883271087663	0.0	0.0	2.0
-0.18677254880901728	0.034883984988616744	-0.5	0.25	3.0
-0.062378404208985216	0.0038910653116595445	-0.5	0.25	3.0
7.105427357601002e-15	5.048709793414476e-29	-0.5	0.25	3.0
30.5857864376269	935.4903320081216	-0.5	0.25	3.0
30.68019292267563	941.2742377725958	-0.5	0.25	3.0
31.999999999999996	1023.9999999999998	-0.5	0.25	3.0
32.062378404209014	1027.9961089346884	-0.5	0.25	3.0
33.41421356237309	1116.509667991878	-0.5	0.25	3.0
33.50657962613336	1122.690878242415	-0.5	0.25	3.0
30.585786437626908	935.4903320081221	-1.0	1.0	4.0
32.0	1024.0	-1.0	1.0	4.0
33.41421356237309	1116.509667991878	-1.0	1.0	4.0
-1.414213562373093	1.999999999999994	1.0	1.0	2.0
1.5543122344752192e-15	2.4158865222393487e-30	1.0	1.0	2.0
1.4142135623730951	2.0000000000000004	1.0	1.0	2.0
-0.18677254880902439	0.034883984988619395	0.5	0.25	3.0
-0.06237840420899232	0.003891065311660431	0.5	0.25	3.0
0.0	0.0	0.5	0.25	3.0
30.585786437626904	935.4903320081219	0.5	0.25	3.0
30.68019292267563	941.2742377725958	0.5	0.25	3.0
32.00000000000001	1024.0000000000005	0.5	0.25	3.0
32.062378404209014	1027.9961089346884	0.5	0.25	3.0
33.41421356237309	1116.509667991878	0.5	0.25	3.0
33.50657962613336	1122.690878242415	0.5	0.25	3.0
30.49342037386662	929.8486860973438	0.0	0.0	4.0
30.585786437626897	935.4903320081214	0.0	0.0	4.0
31.937621595790976	1020.0116731959341	0.0	0.0	4.0
31.999999999999986	1023.9999999999991	0.0	0.0	4.0
33.31980707732435	1110.2095436701138	0.0	0.0	4.0
33.41421356237309	1116.509667991878	0.0	0.0	4.0
64.0	4096.0	0.0	0.0	4.0
64.06237840420903	4103.988326804068	0.0	0.0	4.0
64.18677254880903	4119.9417702325445	0.0	0.0	4.0
62.58578643762691	3916.980664016244	-0.5	0.25	5.0
64.0	4096.0	-0.5	0.25	5.0
65.41421356237309	4279.019335983756	-0.5	0.25	5.0
0.0	0.0	1.5	2.25	3.0
30.585786437626908	935.4903320081221	1.0	1.0	4.0
32.0	1024.0	1.0	1.0	4.0
33.41421356237309	1116.509667991878	1.0	1.0	4.0
62.58578643762691	3916.980664016244	0.5	0.25	5.0
64.0	4096.0	0.5	0.25	5.0
65.41421356237309	4279.019335983756	0.5	0.25	5.0
96.0	9216.0	0.0	0.0	6.0
